pos	word	ratio*10000	covered*100
158	us	4.63	53.96
159	since	4.59	54.01
160	{	4.57	54.05
161	until	4.57	54.10
162	however	4.56	54.14
163	}	4.56	54.19
164	each	4.56	54.24
165	including	4.53	54.28
166	day	4.50	54.33
167	film	4.47	54.37
168	found	4.47	54.41
169	south	4.46	54.46
170	still	4.46	54.50
171	head	4.45	54.55
172	man	4.45	54.59
173	became	4.40	54.64
174	team	4.37	54.68
175	based	4.37	54.72
176	right	4.36	54.77
177	get	4.34	54.81
178	de	4.33	54.85
179	family	4.31	54.90
180	called	4.27	54.94
181	house	4.25	54.98
182	war	4.24	55.03
183	see	4.23	55.07
184	again	4.17	55.11
185	life	4.14	55.15
186	very	4.14	55.19
187	name	4.13	55.23
188	much	4.12	55.27
189	group	4.11	55.32
190	several	4.11	55.36
191	here	4.10	55.40
192	show	4.08	55.44
193	born	4.07	55.48
194	number	4.07	55.52
195	r	4.01	55.56
196	4	4.00	55.60
197	north	3.99	55.64
198	four	3.98	55.68
199	took	3.98	55.72
200	another	3.97	55.76
201	c	3.95	55.80
202	place	3.95	55.84
203	use	3.93	55.88
204	those	3.91	55.92
205	following	3.90	55.96
206	re	3.90	55.99
207	season	3.89	56.03
208	&	3.85	56.07
209	5	3.85	56.11
210	eyes	3.82	56.15
211	series	3.81	56.19
212	left	3.81	56.23
213	go	3.80	56.26
214	make	3.80	56.30
215	general	3.78	56.34
216	_	3.76	56.38
217	government	3.73	56.41
218	system	3.72	56.45
219	good	3.70	56.49
220	company	3.62	56.52
221	end	3.61	56.56
222	area	3.59	56.60
223	away	3.57	56.63
224	own	3.53	56.67
225	hand	3.51	56.70
226	home	3.49	56.74
227	take	3.49	56.77
228	never	3.48	56.81
229	order	3.47	56.84
230	large	3.45	56.88
231	last	3.44	56.91
232	small	3.42	56.94
233	going	3.41	56.98
234	early	3.38	57.01
235	old	3.38	57.05
236	little	3.37	57.08
237	music	3.36	57.11
238	began	3.31	57.15
239	too	3.31	57.18
240	set	3.28	57.21
241	district	3.27	57.25
242	should	3.26	57.28
243	best	3.26	57.31
244	within	3.22	57.34
245	game	3.22	57.38
246	held	3.21	57.41
247	side	3.18	57.44
248	o	3.17	57.47
249	using	3.16	57.50
250	without	3.16	57.53
251	different	3.14	57.57
252	along	3.14	57.60
253	public	3.12	57.63
254	came	3.12	57.66
255	international	3.11	57.69
256	line	3.11	57.72
257	due	3.10	57.75
258	west	3.09	57.78
259	county	3.09	57.81
260	10	3.05	57.84
261	men	3.04	57.87
262	great	3.03	57.91
263	u	3.02	57.94
264	john	3.01	57.97
265	face	2.99	58.00
266	model	2.97	58.03
267	former	2.95	58.05
268	st	2.94	58.08
269	local	2.94	58.11
270	—	2.94	58.14
271	think	2.93	58.17
272	played	2.92	58.20
273	few	2.91	58.23
274	league	2.90	58.26
275	l	2.89	58.29
276	party	2.89	58.32
277	want	2.89	58.35
278	thought	2.88	58.37
279	went	2.87	58.40
280	church	2.87	58.43
281	father	2.86	58.46
282	b	2.85	58.49
283	come	2.85	58.52
284	album	2.84	58.55
285	power	2.84	58.57
286	’	2.83	58.60
287	five	2.82	58.63
288	women	2.79	58.66
289	0	2.79	58.69
290	though	2.77	58.71
291	law	2.77	58.74
292	field	2.77	58.77
293	released	2.77	58.80
294	member	2.76	58.83
295	black	2.76	58.85
296	something	2.74	58.88
297	next	2.73	58.91
298	east	2.72	58.93
299	6	2.72	58.96
300	body	2.72	58.99
301	club	2.71	59.02
302	town	2.71	59.04
303	every	2.70	59.07
304	*	2.69	59.10
305	century	2.69	59.12
306	college	2.68	59.15
307	looked	2.67	59.18
308	water	2.67	59.20
309	times	2.67	59.23
310	single	2.66	59.26
311	building	2.64	59.28
312	find	2.64	59.31
313	president	2.64	59.34
314	air	2.64	59.36
315	station	2.63	59.39
316	asked	2.62	59.42
317	won	2.62	59.44
318	g	2.60	59.47
319	service	2.59	59.49
320	located	2.59	59.52
321	given	2.58	59.55
322	point	2.58	59.57
323	river	2.57	59.60
324	^	2.54	59.62
325	york	2.54	59.65
326	case	2.54	59.67
327	british	2.54	59.70
328	room	2.54	59.72
329	open	2.53	59.75
330	let	2.52	59.77
331	does	2.51	59.80
332	death	2.50	59.82
333	data	2.50	59.85
334	k	2.50	59.87
335	near	2.49	59.90
336	form	2.49	59.92
337	once	2.49	59.95
338	himself	2.49	59.97
339	named	2.48	60.00
340	court	2.48	60.02
341	upon	2.47	60.05
342	although	2.47	60.07
343	having	2.46	60.10
344	non	2.46	60.12
345	main	2.46	60.15
346	king	2.45	60.17
347	got	2.44	60.20
348	history	2.44	60.22
349	members	2.42	60.24
350	look	2.42	60.27
351	march	2.41	60.29
352	among	2.40	60.32
353	white	2.40	60.34
354	september	2.40	60.36
355	band	2.39	60.39
356	book	2.39	60.41
357	night	2.39	60.44
358	why	2.37	60.46
359	received	2.37	60.48
360	must	2.36	60.51
361	7	2.35	60.53
362	present	2.33	60.55
363	species	2.33	60.58
364	%	2.33	60.60
365	children	2.33	60.62
366	built	2.32	60.65
367	say	2.32	60.67
368	light	2.31	60.69
369	need	2.31	60.72
370	20	2.30	60.74
371	third	2.30	60.76
372	art	2.30	60.79
373	october	2.30	60.81
374	started	2.30	60.83
375	final	2.29	60.85
376	000	2.28	60.88
377	major	2.27	60.90
378	football	2.27	60.92
379	moved	2.27	60.95
380	together	2.27	60.97
381	often	2.26	60.99
382	8	2.26	61.01
383	road	2.26	61.04
384	january	2.25	61.06
385	song	2.25	61.08
386	june	2.25	61.10
387	p	2.24	61.13
388	country	2.23	61.15
389	love	2.23	61.17
390	ll	2.23	61.19
391	top	2.22	61.22
392	results	2.22	61.24
393	study	2.22	61.26
394	army	2.19	61.28
395	august	2.19	61.30
396	july	2.18	61.33
397	november	2.18	61.35
398	son	2.18	61.37
399	door	2.17	61.39
400	across	2.16	61.41
401	turned	2.15	61.43
402	april	2.15	61.46
403	research	2.15	61.48
404	published	2.14	61.50
405	knew	2.13	61.52
406	according	2.13	61.54
407	might	2.13	61.56
408	led	2.13	61.58
409	center	2.13	61.60
410	december	2.12	61.63
411	young	2.12	61.65
412	help	2.12	61.67
413	central	2.12	61.69
414	village	2.12	61.71
415	play	2.11	61.73
416	include	2.10	61.75
417	space	2.10	61.77
418	put	2.10	61.79
419	behind	2.10	61.82
420	mother	2.09	61.84
421	saw	2.09	61.86
422	information	2.09	61.88
423	park	2.08	61.90
424	development	2.08	61.92
425	full	2.07	61.94
426	felt	2.07	61.96
427	late	2.07	61.98
428	served	2.07	62.00
429	wanted	2.06	62.02
430	six	2.06	62.04
431	days	2.06	62.06
432	give	2.05	62.09
433	half	2.05	62.11
434	list	2.05	62.13
435	street	2.04	62.15
436	community	2.04	62.17
437	ever	2.03	62.19
438	english	2.03	62.21
439	front	2.03	62.23
440	making	2.03	62.25
441	office	2.02	62.27
442	free	2.02	62.29
443	control	2.01	62.31
444	god	2.00	62.33
445	voice	2.00	62.35
446	various	2.00	62.37
447	energy	2.00	62.39
448	become	1.99	62.41
449	12	1.98	62.43
450	included	1.98	62.45
451	hands	1.98	62.47
452	[	1.98	62.49
453	french	1.97	62.51
454	gave	1.96	62.53
455	things	1.96	62.55
456	support	1.96	62.57
457	told	1.96	62.59
458	original	1.96	62.61
459	council	1.95	62.62
460	further	1.95	62.64
461	level	1.95	62.66
462	short	1.94	62.68
463	red	1.93	62.70
464	land	1.93	62.72
465	low	1.93	62.74
466	seen	1.92	62.76
467	division	1.92	62.78
468	business	1.92	62.80
469	class	1.91	62.82
470	h	1.91	62.84
471	enough	1.90	62.86
472	region	1.90	62.87
473	f	1.90	62.89
474	act	1.89	62.91
475	february	1.89	62.93
476	force	1.89	62.95
477	better	1.88	62.97
478	x	1.87	62.99
479	human	1.87	63.01
480	woman	1.87	63.03
481	others	1.87	63.04
482	award	1.86	63.06
483	almost	1.86	63.08
484	always	1.85	63.10
485	games	1.85	63.12
486	paper	1.84	63.14
487	established	1.84	63.16
488	9	1.84	63.17
489	ve	1.84	63.19
490	ii	1.83	63.21
491	died	1.83	63.23
492	far	1.83	63.25
493	15	1.83	63.27
494	close	1.82	63.28
495	really	1.82	63.30
496	v	1.81	63.32
497	lost	1.81	63.34
498	tell	1.81	63.36
499	19	1.81	63.37
500	important	1.81	63.39
501	german	1.81	63.41
502	military	1.81	63.43
503	nothing	1.80	63.45
504	london	1.80	63.46
505	run	1.79	63.48
506	role	1.79	63.50
507	co	1.79	63.52
508	]	1.79	63.54
509	player	1.79	63.55
510	period	1.77	63.57
511	island	1.77	63.59
512	association	1.76	63.61
513	opened	1.76	63.62
514	=	1.76	63.64
515	“	1.76	63.66
516	real	1.75	63.68
517	department	1.75	63.69
518	political	1.73	63.71
519	result	1.73	63.73
520	taken	1.73	63.75
521	age	1.72	63.76
522	production	1.72	63.78
523	continued	1.72	63.80
524	director	1.72	63.82
525	works	1.72	63.83
526	story	1.72	63.85
527	considered	1.71	63.87
528	”	1.71	63.88
529	least	1.71	63.90
530	described	1.71	63.92
531	either	1.71	63.94
532	social	1.70	63.95
533	systems	1.70	63.97
534	worked	1.70	63.99
535	education	1.70	64.00
536	2010	1.69	64.02
537	society	1.68	64.04
538	already	1.67	64.05
539	western	1.67	64.07
540	able	1.67	64.09
541	ground	1.67	64.10
542	shall	1.66	64.12
543	services	1.65	64.14
544	live	1.65	64.15
545	special	1.65	64.17
546	less	1.64	64.19
547	returned	1.64	64.20
548	yet	1.64	64.22
549	language	1.64	64.24
550	sure	1.63	64.25
551	union	1.63	64.27
552	site	1.63	64.28
553	written	1.62	64.30
554	type	1.62	64.32
555	election	1.62	64.33
556	title	1.62	64.35
557	11	1.62	64.37
558	position	1.62	64.38
559	produced	1.62	64.40
560	thing	1.61	64.41
561	working	1.61	64.43
562	fire	1.60	64.45
563	career	1.59	64.46
564	design	1.59	64.48
565	2011	1.59	64.49
566	hard	1.59	64.51
567	similar	1.59	64.53
568	done	1.59	64.54
569	car	1.59	64.56
570	program	1.59	64.57
571	performance	1.58	64.59
572	dark	1.58	64.60
573	million	1.58	64.62
574	inside	1.58	64.64
575	process	1.58	64.65
576	police	1.58	64.67
577	created	1.57	64.68
578	theory	1.57	64.70
579	television	1.57	64.72
580	al	1.57	64.73
581	2012	1.57	64.75
582	16	1.57	64.76
583	royal	1.57	64.78
584	anything	1.57	64.79
585	network	1.56	64.81
586	round	1.56	64.82
587	18	1.56	64.84
588	30	1.55	64.86
589	common	1.55	64.87
590	instead	1.55	64.89
591	finally	1.54	64.90
592	hall	1.54	64.92
593	record	1.54	64.93
594	soon	1.54	64.95
595	la	1.54	64.96
596	radio	1.54	64.98
597	2008	1.53	64.99
598	heart	1.53	65.01
599	possible	1.53	65.03
600	above	1.53	65.04
601	project	1.53	65.06
602	big	1.53	65.07
603	brother	1.53	65.09
604	am	1.53	65.10
605	announced	1.53	65.12
606	#	1.52	65.13
607	england	1.52	65.15
608	mind	1.52	65.16
609	lead	1.52	65.18
610	2014	1.52	65.19
611	board	1.52	65.21
612	words	1.52	65.22
613	course	1.51	65.24
614	wife	1.51	65.25
615	population	1.51	65.27
616	students	1.51	65.28
617	2009	1.51	65.30
618	wrote	1.51	65.31
619	championship	1.51	65.33
620	problem	1.50	65.34
621	2013	1.50	65.36
622	keep	1.48	65.37
623	training	1.48	65.39
624	14	1.48	65.40
625	thus	1.48	65.42
626	range	1.48	65.43
627	2015	1.48	65.45
628	taking	1.47	65.46
629	change	1.47	65.48
630	feel	1.46	65.49
631	method	1.46	65.51
632	strong	1.46	65.52
633	2016	1.45	65.54
634	13	1.45	65.55
635	looking	1.45	65.56
636	william	1.45	65.58
637	term	1.45	65.59
638	joined	1.45	65.61
639	northern	1.44	65.62
640	version	1.44	65.64
641	moment	1.44	65.65
642	j	1.44	65.67
643	james	1.44	65.68
644	2007	1.43	65.69
645	current	1.43	65.71
646	european	1.42	65.72
647	health	1.42	65.74
648	person	1.42	65.75
649	+	1.41	65.77
650	cup	1.41	65.78
651	rather	1.41	65.79
652	followed	1.41	65.81
653	past	1.41	65.82
654	17	1.40	65.84
655	structure	1.40	65.85
656	developed	1.39	65.86
657	models	1.39	65.88
658	professional	1.39	65.89
659	southern	1.39	65.91
660	star	1.39	65.92
661	minister	1.39	65.93
662	science	1.38	65.95
663	brought	1.38	65.96
664	provide	1.38	65.97
665	reached	1.38	65.99
666	2006	1.38	66.00
667	features	1.38	66.02
668	outside	1.38	66.03
669	official	1.37	66.04
670	fact	1.37	66.06
671	arms	1.37	66.07
672	2017	1.37	66.08
673	example	1.37	66.10
674	forces	1.37	66.11
675	sound	1.37	66.13
676	founded	1.37	66.14
677	2018	1.37	66.15
678	appeared	1.37	66.17
679	battle	1.36	66.18
680	america	1.36	66.19
681	deep	1.36	66.21
682	museum	1.36	66.22
683	total	1.36	66.24
684	addition	1.36	66.25
685	india	1.36	66.26
686	australia	1.35	66.28
687	chief	1.35	66.29
688	matter	1.34	66.30
689	george	1.34	66.32
690	mass	1.34	66.33
691	heard	1.34	66.34
692	character	1.34	66.36
693	france	1.34	66.37
694	action	1.34	66.38
695	video	1.34	66.40
696	2019	1.33	66.41
697	call	1.33	66.42
698	formed	1.32	66.44
699	california	1.32	66.45
700	construction	1.32	66.46
701	available	1.32	66.48
702	sent	1.32	66.49
703	modern	1.32	66.50
704	post	1.32	66.52
705	mr	1.32	66.53
706	sea	1.31	66.54
707	despite	1.31	66.56
708	lower	1.31	66.57
709	return	1.31	66.58
710	closed	1.31	66.59
711	points	1.31	66.61
712	seven	1.31	66.62
713	hair	1.31	66.63
714	toward	1.30	66.65
715	word	1.30	66.66
716	event	1.30	66.67
717	|	1.30	66.69
718	rock	1.30	66.70
719	months	1.29	66.71
720	leave	1.29	66.72
721	green	1.29	66.74
722	studies	1.29	66.75
723	married	1.29	66.76
724	ten	1.29	66.78
725	areas	1.28	66.79
726	san	1.28	66.80
727	david	1.28	66.81
728	match	1.28	66.83
729	2020	1.28	66.84
730	25	1.27	66.85
731	stop	1.27	66.87
732	certain	1.27	66.88
733	girl	1.27	66.89
734	blood	1.27	66.90
735	mean	1.27	66.92
736	railway	1.27	66.93
737	self	1.27	66.94
738	whose	1.26	66.95
739	events	1.26	66.97
740	middle	1.26	66.98
741	rest	1.26	66.99
742	killed	1.26	67.00
743	proposed	1.26	67.02
744	towards	1.26	67.03
745	yes	1.26	67.04
746	blue	1.26	67.06
747	daughter	1.25	67.07
748	whole	1.25	67.08
749	section	1.25	67.09
750	playing	1.25	67.11
751	rights	1.25	67.12
752	today	1.25	67.13
753	committee	1.25	67.14
754	care	1.24	67.16
755	approach	1.24	67.17
756	lake	1.23	67.18
757	turn	1.23	67.19
758	means	1.23	67.20
759	everything	1.23	67.22
760	future	1.23	67.23
761	move	1.23	67.24
762	function	1.22	67.25
763	indian	1.22	67.27
764	higher	1.22	67.28
765	particular	1.22	67.29
766	money	1.22	67.30
767	previous	1.22	67.31
768	elected	1.21	67.33
769	style	1.21	67.34
770	leading	1.21	67.35
771	centre	1.21	67.36
772	living	1.21	67.37
773	appointed	1.21	67.39
774	cross	1.20	67.40
775	says	1.20	67.41
776	trying	1.20	67.42
777	lord	1.20	67.44
778	groups	1.20	67.45
779	institute	1.20	67.46
780	independent	1.20	67.47
781	throughout	1.20	67.48
782	start	1.20	67.50
783	news	1.20	67.51
784	kind	1.20	67.52
785	ca	1.19	67.53
786	win	1.19	67.54
787	tried	1.19	67.55
788	mouth	1.19	67.57
789	natural	1.19	67.58
790	usually	1.19	67.59
791	eastern	1.19	67.60
792	21	1.19	67.61
793	w	1.18	67.63
794	met	1.18	67.64
795	needed	1.18	67.65
796	release	1.18	67.66
797	canada	1.18	67.67
798	popular	1.18	67.68
799	recorded	1.18	67.70
800	related	1.18	67.71
801	eventually	1.17	67.72
802	stage	1.17	67.73
803	provided	1.17	67.74
804	coming	1.17	67.76
805	private	1.17	67.77
806	feet	1.17	67.78
807	idea	1.17	67.79
808	quantum	1.17	67.80
809	originally	1.17	67.81
810	2005	1.16	67.83
811	z	1.16	67.84
812	doing	1.16	67.85
813	child	1.16	67.86
814	friend	1.16	67.87
815	effect	1.16	67.88
816	terms	1.16	67.90
817	especially	1.16	67.91
818	wide	1.16	67.92
819	floor	1.16	67.93
820	eight	1.16	67.94
821	decided	1.15	67.95
822	media	1.15	67.96
823	designed	1.15	67.98
824	teams	1.15	67.99
825	standard	1.15	68.00
826	interest	1.15	68.01
827	maybe	1.15	68.02
828	summer	1.15	68.03
829	probably	1.15	68.05
830	performed	1.15	68.06
831	dead	1.15	68.07
832	seemed	1.15	68.08
833	sometimes	1.14	68.09
834	analysis	1.14	68.10
835	running	1.14	68.11
836	australian	1.14	68.12
837	added	1.13	68.14
838	stood	1.13	68.15
839	remained	1.13	68.16
840	records	1.13	68.17
841	food	1.13	68.18
842	forward	1.13	68.19
843	via	1.12	68.20
844	degree	1.12	68.22
845	race	1.12	68.23
846	someone	1.12	68.24
847	friends	1.12	68.25
848	table	1.11	68.26
849	attack	1.11	68.27
850	track	1.11	68.28
851	oh	1.11	68.29
852	itself	1.11	68.30
853	ran	1.11	68.32
854	wall	1.11	68.33
855	press	1.11	68.34
856	week	1.10	68.35
857	movement	1.10	68.36
858	players	1.10	68.37
859	100	1.10	68.38
860	involved	1.10	68.39
861	gold	1.10	68.40
862	surface	1.09	68.41
863	china	1.09	68.43
864	novel	1.09	68.44
865	books	1.09	68.45
866	24	1.09	68.46
867	federal	1.09	68.47
868	germany	1.09	68.48
869	2000	1.09	68.49
870	placed	1.09	68.50
871	schools	1.08	68.51
872	learning	1.08	68.52
873	whether	1.08	68.53
874	civil	1.08	68.54
875	nature	1.08	68.56
876	paul	1.08	68.57
877	thomas	1.08	68.58
878	true	1.07	68.59
879	festival	1.07	68.60
880	2004	1.07	68.61
881	property	1.07	68.62
882	medical	1.07	68.63
883	shows	1.07	68.64
884	finished	1.07	68.65
885	security	1.07	68.66
886	includes	1.07	68.67
887	directed	1.07	68.68
888	per	1.07	68.69
889	arts	1.06	68.71
890	associated	1.06	68.72
891	hospital	1.06	68.73
892	therefore	1.06	68.74
893	2021	1.06	68.75
894	professor	1.06	68.76
895	herself	1.06	68.77
896	shown	1.05	68.78
897	morning	1.05	68.79
898	question	1.05	68.80
899	reported	1.05	68.81
900	plan	1.05	68.82
901	japanese	1.05	68.83
902	beginning	1.05	68.84
903	report	1.05	68.85
904	believe	1.05	68.86
905	minutes	1.05	68.87
906	currently	1.04	68.88
907	longer	1.04	68.89
908	phase	1.04	68.91
909	europe	1.04	68.92
910	bed	1.04	68.93
911	earth	1.04	68.94
912	robert	1.04	68.95
913	kingdom	1.04	68.96
914	russian	1.03	68.97
915	academy	1.03	68.98
916	hit	1.03	68.99
917	hours	1.03	69.00
918	cases	1.03	69.01
919	passed	1.03	69.02
920	hold	1.02	69.03
921	brown	1.02	69.04
922	michael	1.02	69.05
923	washington	1.02	69.06
924	significant	1.02	69.07
925	previously	1.02	69.08
926	complex	1.02	69.09
927	pulled	1.02	69.10
928	whom	1.02	69.11
929	songs	1.02	69.12
930	size	1.02	69.13
931	bank	1.02	69.14
932	quickly	1.02	69.15
933	introduced	1.02	69.16
934	complete	1.01	69.17
935	largest	1.01	69.18
936	charles	1.01	69.19
937	tv	1.01	69.20
938	technology	1.01	69.21
939	parts	1.01	69.22
940	studied	1.01	69.23
941	signed	1.01	69.24
942	base	1.01	69.25
943	conditions	1.01	69.26
944	fine	1.01	69.27
945	stated	1.01	69.28
946	province	1.01	69.29
947	organization	1.00	69.30
948	shot	1.00	69.31
949	evidence	1.00	69.32
950	ship	1.00	69.33
951	else	1.00	69.34
952	myself	1.00	69.35
953	kept	1.00	69.36
954	stars	1.00	69.37
955	management	1.00	69.38
956	22	1.00	69.39
957	talk	1.00	69.40
958	allowed	0.99	69.41
959	officer	0.99	69.42
960	properties	0.99	69.43
961	arm	0.99	69.44
962	below	0.99	69.45
963	episode	0.99	69.46
964	lot	0.99	69.47
965	themselves	0.99	69.48
966	sister	0.99	69.49
967	1990	0.99	69.50
968	grand	0.99	69.51
969	attention	0.99	69.52
970	library	0.98	69.53
971	chinese	0.98	69.54
972	coach	0.98	69.55
973	conference	0.98	69.56
974	length	0.98	69.57
975	methods	0.98	69.58
976	collection	0.98	69.59
977	route	0.98	69.60
978	source	0.97	69.61
979	countries	0.97	69.62
980	seat	0.97	69.63
981	completed	0.97	69.64
982	heavy	0.97	69.65
983	changed	0.97	69.66
984	reason	0.97	69.67
985	required	0.96	69.68
986	fourth	0.96	69.69
987	saying	0.96	69.70
988	recent	0.96	69.71
989	republic	0.96	69.72
990	limited	0.96	69.73
991	writing	0.96	69.74
992	bridge	0.96	69.75
993	makes	0.96	69.75
994	entire	0.96	69.76
995	commission	0.96	69.77
996	gone	0.96	69.78
997	competition	0.95	69.79
998	alone	0.95	69.80
999	23	0.95	69.81
1000	earlier	0.95	69.82
1001	view	0.95	69.83
1002	getting	0.95	69.84
1003	test	0.95	69.85
1004	fight	0.95	69.86
1005	places	0.95	69.87
1006	problems	0.95	69.88
1007	stone	0.94	69.89
1008	peter	0.94	69.90
1009	japan	0.94	69.91
1010	raised	0.94	69.92
1011	master	0.94	69.93
1012	distribution	0.94	69.93
1013	historic	0.94	69.94
1014	2003	0.94	69.95
1015	lived	0.94	69.96
1016	foreign	0.94	69.97
1017	canadian	0.94	69.98
1018	50	0.94	69.99
1019	additional	0.94	70.00
1020	leaving	0.94	70.01
1021	leader	0.93	70.02
1022	tour	0.93	70.03
1023	primary	0.93	70.04
1024	campaign	0.93	70.05
1025	channel	0.93	70.06
1026	bad	0.93	70.07
1027	subject	0.93	70.08
1028	secretary	0.93	70.08
1029	christian	0.93	70.09
1030	potential	0.93	70.10
1031	decision	0.93	70.11
1032	rate	0.93	70.12
1033	prior	0.93	70.13
1034	multiple	0.93	70.14
1035	trade	0.93	70.15
1036	actually	0.92	70.16
1037	boy	0.92	70.17
1038	cut	0.92	70.18
1039	active	0.92	70.19
1040	sold	0.92	70.20
1041	key	0.92	70.20
1042	capital	0.92	70.21
1043	nearly	0.92	70.22
1044	market	0.92	70.23
1045	magazine	0.92	70.24
1046	hill	0.92	70.25
1047	smile	0.92	70.26
1048	sense	0.92	70.27
1049	coast	0.92	70.28
1050	captain	0.92	70.29
1051	debut	0.92	70.30
1052	presented	0.92	70.31
1053	sir	0.91	70.31
1054	lines	0.91	70.32
1055	sat	0.91	70.33
1056	hear	0.91	70.34
1057	awards	0.91	70.35
1058	aircraft	0.91	70.36
1059	governor	0.91	70.37
1060	value	0.91	70.38
1061	parents	0.90	70.39
1062	1980	0.90	70.40
1063	valley	0.90	70.41
1064	replaced	0.90	70.41
1065	obtained	0.90	70.42
1066	distance	0.90	70.43
1067	henry	0.90	70.44
1068	industry	0.90	70.45
1069	individual	0.90	70.46
1070	effects	0.90	70.47
1071	dr	0.90	70.48
1072	operations	0.90	70.49
1073	fall	0.90	70.50
1074	scale	0.90	70.50
1075	review	0.90	70.51
1076	moving	0.90	70.52
1077	2002	0.90	70.53
1078	simple	0.90	70.54
1079	spanish	0.90	70.55
1080	date	0.89	70.56
1081	economic	0.89	70.57
1082	operation	0.89	70.58
1083	generally	0.89	70.58
1084	clear	0.89	70.59
1085	article	0.89	70.60
1086	spent	0.89	70.61
1087	meeting	0.89	70.62
1088	bill	0.89	70.63
1089	loss	0.88	70.64
1090	saint	0.88	70.65
1091	buildings	0.88	70.66
1092	walked	0.88	70.66
1093	featured	0.87	70.67
1094	uk	0.87	70.68
1095	african	0.87	70.69
1096	sports	0.87	70.70
1097	physical	0.87	70.71
1098	tournament	0.87	70.72
1099	regular	0.87	70.73
1100	africa	0.87	70.73
1101	mid	0.87	70.74
1102	upper	0.87	70.75
1103	2001	0.87	70.76
1104	awarded	0.87	70.77
1105	deal	0.87	70.78
1106	takes	0.87	70.79
1107	senior	0.87	70.80
1108	standing	0.86	70.80
1109	unit	0.86	70.81
1110	y	0.86	70.82
1111	traditional	0.86	70.83
1112	stay	0.86	70.84
